1,13,25.000000,40.000000,1
2,13,25.000000,30.000000,1
3,13,30.000000,40.000000,0
4,14,25.000000,40.000000,1
5,14,25.000000,30.000000,1
6,14,30.000000,40.000000,0
7,15,25.000000,40.000000,1
8,15,25.000000,30.000000,1
9,15,30.000000,40.000000,0
10,16,25.000000,40.000000,1
11,16,25.000000,30.000000,1
12,16,30.000000,40.000000,0
13,17,25.000000,40.000000,1
14,17,25.000000,30.000000,1
15,17,30.000000,40.000000,0
16,18,25.000000,40.000000,1
17,18,25.000000,30.000000,1
18,18,30.000000,40.000000,0
19,19,25.000000,40.000000,1
20,19,25.000000,30.000000,1
21,19,30.000000,40.000000,0
22,20,25.000000,40.000000,1
23,20,25.000000,30.000000,1
24,20,30.000000,40.000000,0
25,22,25.000000,40.000000,1
26,22,25.000000,30.000000,1
27,22,30.000000,40.000000,0
28,23,25.000000,40.000000,1
29,23,25.000000,30.000000,1
30,23,30.000000,40.000000,0
