Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8
55,2,0,4715.40634571964,112.595308989492,407.999172712313,498.751284093538,1712
55,3,0,4295.83767032556,114.580913086223,346.179589655726,473.394807587387,1750
55,4,0.239008210032547,3468.51286180141,111.510738902929,300.557694291428,394.589117019525,2891
55,7,0,5728.05372777809,111.961037857631,366.043645474853,478.152313296006,839
55,8,0,6559.41251982717,112.690191810538,417.673950084595,489.34670603869,523
55,9,0,5757.03797908907,110.395019830496,286.786889837854,497.848223254558,514
55,12,0,5492.59675604705,112.830584738088,259.840649708212,327.182388976614,405
55,17,0,5242.39221331494,107.817690414056,164.602076902918,178.502492345028,184
55,21,0,4439.91024759305,108.929144768149,118.199564314798,201.574408371595,256
55,25,0,5175.27091788114,114.341851761902,133.173857060225,141.257391443938,113
55,27,0,5765.91290407444,112.431604762203,103.635777950867,140.748915669989,70
55,5,0,4073.50907804955,146.246701467503,207.092895507812,497.59812788003,1296
55,6,0,4518.05606504708,148.732101707797,199.594116210938,511.334656081932,1094
55,10,0.705838981627866,3298.41618384378,153.525508346508,154.03271484375,307.540857880809,445
55,11,0,5415.47895442341,139.893167009189,199.159545898438,415.742207732494,432
55,13,0,5239.13263365592,155.954294841483,161.441650390625,304.041043225796,355
55,14,0,5333.97120204631,151.192525110766,155.537841796875,292.749536187418,402
55,23,0,6600.47614165928,147.662920913807,140.15869140625,340.811117333463,227
55,26,0,4550.05725692199,152.685174124081,24.92578125,305.154610361633,75
55,18,0,5605.03646647013,119.124573939073,192.091430664062,467.38130466278,320
55,22,0,6167.8395513297,144.5075301624,203.304931640625,378.108044775988,246
55,24,0,5534.10845686868,79.8387207380103,152.594116210938,386.988837440825,162
55,28,0,5771.70711602502,143.765938808737,49.3182373046875,295.920997343787,93
